Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms)
00:00:00.000Z,00:15:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
00:15:00.000Z,00:30:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
00:30:00.000Z,00:45:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
00:45:00.000Z,01:00:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
01:00:00.000Z,01:15:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
01:15:00.000Z,01:30:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
01:30:00.000Z,01:45:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
01:45:00.000Z,02:00:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
02:00:00.000Z,02:15:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
02:15:00.000Z,02:30:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
02:30:00.000Z,02:45:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
02:45:00.000Z,03:00:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
03:00:00.000Z,03:15:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
03:15:00.000Z,03:30:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
03:30:00.000Z,03:45:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
03:45:00.000Z,04:00:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
04:00:00.000Z,04:15:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
04:15:00.000Z,04:30:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
04:30:00.000Z,04:45:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
04:45:00.000Z,05:00:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
05:00:00.000Z,05:15:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
05:15:00.000Z,05:30:00.000Z,,33.46285629272461,,,,,,,,,,,,,,,,900000,
